Athlete_Id,FG%,PPG,Rebounds,Assists,Steals,Blocks,Sport_Id
124,.348,14.5,7,9,4,0,4
126,.406,14.1,234,17,21,20,4
122,.302,11.9,130,64,31,1,4
132,.498,10.5,273,31,24,34,4
131,.422,6.3,159,21,19,20,4
119,.304,6.0,70,81,24,0,4
128,.337,3.7,60,15,8,1,4
120,.250,3.3,75,52,18,2,4
125,.327,2.6,45,17,2,1,4
130,.769,1.7,17,4,0,3,4
129,.294,1.1,7,1,0,0,4
121,.357,0.5,17,10,11,0,4
123,.000,0,0,0,0,0,4
