Athlete_Id,Goals,Assists,Sport_Id
178,4,4,7
206,4,0,7
197,3,1,7
183,3,1,7
212,1,2,7
179,1,1,7
191,1,0,7
201,1,0,7
180,1,0,7
177,0,1,7
186,0,1,7
205,0,0,7
187,0,0,7
175,0,0,7
204,0,0,7
214,0,0,7
203,0,0,7
196,0,0,7
185,0,0,7
176,0,0,7
194,0,0,7
188,0,0,7
192,0,0,7
202,0,0,7
198,0,0,7
184,0,0,7
215,0,0,7
193,0,0,7
213,0,0,7
211,0,0,7
190,0,0,7
189,0,0,7
182,0,0,7
199,0,0,7
210,0,0,7
