Athlete_Id,Average,Runs,Hits,RBI,Sport_Id
107,.386,22,39,14,3
101,.373,7,28,17,3
106,.360,19,32,18,3
110,.281,13,25,9,3
115,.281,17,25,16,3
117,.277,6,23,18,3
111,.272,31,25,18,3
103,.196,11,11,10,3
105,.190,9,11,9,3
104,.393,7,11,5,3
112,.154,2,2,0,3
108,.000,0,0,0,3
102,.000,4,0,0,3
114,.000,0,0,0,3
116,.000,2,0,0,3
113,.000,1,0,0,3
